"gene_symbol","Interneurons_ps","Oligodendrocytes_ps","Medium.spiny.neurons_ps","Endothelial.cells_ps","Astrocytes_ps","Excitatory.neurons_ps","Microglia_ps","OPCs_ps"
"1700037H04Rik",196.636051247062,124.39498351783,300.068165687929,218.587873850164,101.384935625367,126.908747717752,158.974679653925,117.975063558947
"2900026A02Rik",41.1140270646698,39.7191880102111,98.1251994667145,181.533592880224,21.9248387684243,215.294841359668,73.2062737196244,20.3353621772051
"5031439G07Rik",78.4789444983034,183.585171932493,49.5164008229607,33.5704479533101,78.9349859029114,67.0980880858286,36.3322208861465,42.4263350990362
"5730455P16Rik",364.472692582665,273.601306736845,282.709665999159,277.62626297574,246.897561588348,324.656217200575,255.342683595461,301.447731832204
"8030462N17Rik",229.36118539463,140.716706880192,470.447211732665,340.175488979079,139.427643407131,271.316053801904,239.844583354543,138.04336039121
"A730071L15Rik",333.631764379363,313.681694714302,267.88750290388,48.28195429,651.43758389975,293.034463289441,786.630625805968,1019.74462172063
"Aagab",58.0515971888344,37.6749097871215,60.1392850896297,34.1581334688099,35.7616903764528,72.9750792693645,119.471198580727,36.981745649006
"Aak1",368.799211109178,96.7401086745887,300.846622677409,161.853059595993,128.25502524677,347.309255365699,111.925040819993,131.093631182462
"Aamdc",120.779774851827,246.171273426637,137.541505833727,252.202192292401,300.368166725393,103.393291226726,144.700262499555,369.734188843614
"Aatk",50.1637362802007,533.847322979846,36.9981798774081,41.493288224366,60.7377006749019,53.264116855284,15.647850176033,82.83979081907
"Abca1",69.5734251576215,219.272138917827,26.2043787678263,330.866884276972,645.02728689496,27.3910205974079,964.223933932516,510.035788086003
"Abca2",97.2897386025404,500.607972569006,60.8526396312959,50.1865351115387,81.9952676497983,78.1562853347876,26.7613202318822,92.7735308430178
"Abca5",170.568383984139,49.5488806878816,55.379635923041,51.9769608584387,126.87429713108,106.721000916685,18.1787333864644,95.1019560163959
"Abcb1a",44.3831026926829,48.2810450603528,4.84973557572362,20264.5240383885,163.98945803829,38.2733667145012,232.887337420966,0.000291522
"Abcc1",13.6952392181372,11.9786447830353,17.9920046240755,12.1574145987162,9.84422880502239,15.5177872432639,13.8812784810437,18.3445373137237
