"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"Hnrnpul2",11018.77,12595.45,11176.43,15092.16,6568.505,11333.07,37907.2,8272.679
"Homer1",3043.21,2526.892,9673.661,1941.76,1266.96,12194.74,5524.22,3019.127
"Homer2",5798.191,501.7082,386.7526,1399.498,744.9342,3643.501,1962.526,2011.83
"Homer3",831.234,11380.49,282.3973,3796.438,5478.55,455.7043,21839.61,6060.258
"Hook1",1060.647,166.4978,1043.696,233.174,61.73755,1544.704,226.5118,241.4212
"Hook2",397.9536,28.41549,126.86,53.59382,68.04842,264.9725,327.7255,108.7971
"Hook3",7475.551,12736.78,3386.473,6268.854,3811.299,5733.513,18353.11,7237.88
"Hp1bp3",2405.959,2126.895,1759.701,2348.083,1304.264,2051.679,6406.478,2317.579
"Hpca",3923.576,6104.574,20594.4,5792.07,3797.792,7694.441,17242.92,3335.836
"Hpcal1",1380.153,1173.838,856.3996,4002.464,582.0461,1558.976,12476.59,1606.78
"Hpcal4",779.2807,838.9119,1138.75,513.7774,721.5332,1614.567,2177.256,666.384
"Hpf1",156.7345,115.0059,120.2808,101.1742,70.67623,132.159,696.372,135.4906
"Hpx",0.007780039,0.004192498,0.006339516,0.03381075,8993.178,232.1429,0.02021066,0.02376158
"Hras",2540.186,1743.677,2325.489,1434.18,983.2609,2122.148,5589.929,1824.06
"Hs1bp3",538.2003,665.7469,439.686,321.6876,98.99745,499.8309,2598.992,410.6986
"Hs2st1",420.564,269.9551,418.5856,264.2976,359.4531,567.1637,850.1425,635.1912
"Hs6st3",153.9739,24.49386,227.0406,11.76009,18.14871,187.4531,78.48152,8.924394
"Hsbp1",1531.816,1445.187,855.7606,1634.687,860.7039,1261.942,4121.259,1319.997
"Hscb",2388.097,1915.109,1389.595,2593.523,773.5232,1513.231,12000.6,1710.167
"Hsd11b1",738.3914,332.4322,164.6071,152.5368,8415.955,508.4874,1468.441,0.00105137
"Hsd17b10",4666.806,5806.031,4788.363,5225.052,4444.15,3419.544,16811.52,6364.396
"Hsd17b11",1482.829,4101.797,585.1031,3563.121,4195.527,1054.822,14499.37,5039.509
"Hsd17b12",5071.739,4346.966,1313.111,2042.953,3577.993,2345.033,6586.525,9149.572
"Hsd17b4",8501.24,9151.682,5582.806,4528.272,5328.059,6987.783,28528.52,11262.65
"Hsd17b7",423.093,371.7761,155.8231,119.46,665.9675,501.5606,499.356,313.7347
"Hsdl1",3835.252,2691.337,3271.513,3977.146,1120.185,2744.874,8265.03,2437.16
"Hsdl2",5422.091,6044.291,3200.456,10769.54,10756,3684.991,11499.47,9703.227
"Hsp90aa1",64098.55,93473.54,30057.4,57111.02,21030.79,40411.9,129120.9,39471.82
"Hsp90ab1",24891.6,35866.94,16236.29,28702.53,11973.57,16378.46,54636.89,25585.81
"Hsp90b1",31453.66,22287.76,14269.87,27231.86,14159.58,17984.01,92772.44,33133.95
"Hspa12a",9652.36,3081.516,7326.703,9664.235,863.242,11520.14,12866.67,1025.32
"Hspa12b",7592.562,450.0789,370.3617,74893.03,555.0828,531.1914,2753.829,0.007436118
"Hspa13",1612.862,1082.902,973.4537,1564.813,1076.811,1110.019,2723.997,1909.606
"Hspa14",951.2075,690.6257,762.4425,443.6379,383.5698,889.8579,2265.478,714.3129
"Hspa1a",177.5271,155.5291,52.80626,208.3991,25.79978,104.3911,237.9574,197.9496
"Hspa1b",25216.61,5738.724,0.02210628,2193.315,0.04719939,10080.63,18836.31,0.08285808
"Hspa1l",395.8229,0.004636414,0.007010765,0.03739075,0.01496877,844.1013,0.02235063,0.02627754
"Hspa2",8058.053,10040.9,3804.004,12227.57,22922.51,6595.377,16018.39,3959.973
