"gene_symbol","Interneurons_py","Oligodendrocytes_py","Medium.spiny.neurons_py","Endothelial.cells_py","Astrocytes_py","Excitatory.neurons_py","Microglia_py","OPCs_py"
"Abcc3",9.35748111797779,9.05617439790139e-06,7.28186953092494,13.7575111317133,10.0900548430258,5.57786043648327,1713.28788577062,5.13271611922054e-05
"Abi1",53.2804790407749,65.1173894683583,93.8934513204402,88.3944003155883,176.442319815569,59.1454038425677,166.563070704681,86.07310852
"Abi2",49.7788503207172,29.1973078974951,87.4631402306599,41.6844355949313,30.364452067809,78.0735738849659,22.7012708166377,48.4853442008396
"Abl1",52.7927827923217,269.974839578728,64.2649494967708,164.386237019691,47.6941493350157,48.3518050695429,308.606010574099,107.083292579207
"Abl2",56.9192130831639,45.0015452718118,101.280753189276,58.27025576,75.8098393828477,75.3385562907902,65.3199934559921,44.5979663861942
"Ablim1",66.0031739901561,6.31358871424877,25.0721433630246,134.396964718983,45.3564775529196,77.0786843944395,18.4916609396006,3.95655435700427
"Acat1",31.69513302,16.985370682491,26.2129713106665,21.2378348798254,26.8346532672806,26.5887488032734,13.6656833164868,19.7134009522412
"Acbd6",84.43012031,52.132867975616,83.18124176,60.0810853751388,44.8963104515418,77.2265444758659,59.4376680694118,49.9485761558569
"Acsbg1",4.43155229303257,9.95233300509862,3.63824202133711,22.0795983437221,623.459840937583,3.22673863658833,14.4580789549606,17.1818441796903
"Actb",24.8179980155025,67.656482840321,35.3320567509099,73.8765928419786,29.3305849496308,25.9315863585774,52.6935558592125,44.9182051262582
"Actr1a",95.9286325266749,124.034117654795,70.9989894903126,98.67423905,78.9959419457712,76.2865112710085,91.89635777,84.2554985194027
"Actr3",61.4602931521963,89.0365367204456,97.0263150118944,138.04377954453,64.2975001182338,73.58566676,246.297415335761,76.49534143
"Actr3b",8.63466788266796,4.581441845096,22.386649939467,7.5650209746789,20.1434323299475,18.41088042457,5.614399019,5.658010123
"Adcy2",77.4038107183305,16.2771355279334,10.5647132526828,32.273247827506,92.7360416747533,119.119471173707,11.6972287466849,18.2320049738234
"Adgra1",75.499810767,10.3979176183756,9.92655660440673,16.6150186819531,24.0161442257673,69.4436356561205,11.7891527440548,41.2336750837532
"Adgrb1",24.6092276934565,12.5263177,51.8295546102754,13.0713463564031,22.1366330960404,66.6011153042132,7.20866200110756,30.5386105829442
"Adgrb3",57.1761758460316,9.48642048955631,88.1771541046002,12.2520093669992,30.7659689057787,70.09602168,7.79599540185685,31.1540449281542
"Afap1l2",1.84790898034958,3.34961317685484,1.74018898751172,175.864356205564,69.9644075419499,3.20051732,2.67743345398795e-05,1230.555192315
"Agl",82.9462830749696,67.3895357662203,24.4238242516539,69.42277384,461.199731318288,46.8241334451078,77.7687159115563,166.154097872787
"Akr1a1",23.0511775801278,25.7647442236017,13.6523999363527,31.6682425832791,18.5807928382538,17.7840536768617,33.8469992409314,19.4456500310425
"Aldh1l1",13.2521969002084,29.07457082,4.09366504151268,57.4348541557756,1002.58202880931,14.9469572337177,39.1473990167233,26.4064106136408
"Aldh7a1",38.7039717474305,26.3781856200795,33.1365838950811,43.7991456834586,85.8281847794643,33.644281465349,26.9070663378708,28.7929230041909
"Aldoa",24.0581851821279,25.3758455422932,20.9818144345428,32.1088136901961,21.5678263510981,18.6770920734099,24.0833811068174,14.3041841442855
"Alkbh8",78.7655606949107,58.789438636961,69.914449679221,56.0053040454678,51.828708619696,68.0499779061814,48.7443202512263,82.46773294
"Ank2",73.8820199792885,159.656510651338,66.281490185447,84.9847059033187,145.973965024441,91.8624984915872,28.1372621988825,37.669642428833
"Anks1b",76.7538257518965,57.4645857361893,198.220256881266,17.6511562719556,8.34382325518997,105.080399382211,9.79787638108735,202.6078768
"Anxa5",80.5362461873256,59.6614680451285,56.2239364302051,428.767597487064,198.589578117262,98.5840074285914,53.443664986114,21.1728270941306
"Ap1b1",33.8924676438737,15.0857356683282,30.80658528738,22.8143301722427,14.2686199514817,26.6223011715637,52.669778015081,16.811872261121
"Ap2a1",151.493660595874,174.674347435437,145.483763138108,129.629253696382,83.0722077180502,149.244272002922,85.0140878965172,132.565033157702
"Ap2a2",40.1650369984569,22.8530215634096,40.9458473874492,38.6632610405255,18.8426717582719,45.5551150343955,39.8271306014561,28.2654486024129
"Ap2b1",62.4354446161149,34.5210411523876,58.625587879746,44.7523491895814,29.7896615401591,51.4864667191347,38.3149829450776,36.9297458778961
"Aplp2",29.4531761940884,23.7509484222431,15.091117436137,27.9782603188793,15.2245366116609,16.011015645928,7.30555102414085,24.7819609239053
"Arap2",57.8731295078217,199.45652912363,58.7186737339922,91.9915794891486,161.247887772217,141.241717599399,37.7897109988066,56.6144299198711
"Arf2",184.894264498889,83.7339349390282,133.435461972613,292.170027168653,46.2077985416782,166.711563241086,203.724254241976,89.8887111578127
"Arhgap27",9.32242823677639,1.10286888975793,13.3172144590015,29.0707959152103,1.85394387737776,7.80604624739361,185.714797351949,8.88346568192257
"Arhgap33",19.9237678587506,30.73841483,116.14898391686,15.2237015538446,9.25363015897733,57.0118323540254,4.611991785,28.4211435755956
"Arhgap35",49.3598898,52.49684794,34.1255486183491,62.3783153479358,59.9990152064621,42.1437067184275,30.4818099597542,120.023523099324
"Arhgap39",11.1582164381719,21.4686430861312,8.11494864113336,3.77556825220097,4.9321106310478,15.5983487594075,24.8714352785237,10.1714776029234
"Arhgap42",69.3181171046235,17.5794208979521,19.9453333054347,533.26903278179,313.677458554682,173.893829898882,19.3226100294245,179.313774381558
