"gene_symbol","Interneurons_py","Oligodendrocytes_py","Medium.spiny.neurons_py","Endothelial.cells_py","Astrocytes_py","Excitatory.neurons_py","Microglia_py","OPCs_py"
"Eif4h",16.6147303173054,27.2179256027665,12.265254023627,21.0093534733969,7.21748591381716,13.7206316475297,70.0848758591768,15.8120522663552
"Elfn2",62.5251966976514,19.2812196002483,38.198268992517,14.7058044560483,6.79779261568998,69.6962058070165,47.9504320850945,128.908672842534
"Elmo2",26.5620008359632,49.3203656225518,27.0992642499481,12.3713466817373,41.5788006715853,43.6364462326596,83.7639262062993,18.9893322206821
"Eno1",209.959319686837,125.439626310943,164.241358011918,184.820421042193,235.55960849031,227.344550184708,550.563726498419,263.176839685109
"Epb41l1",216.891445551262,73.7443043971236,189.645753714267,60.9270551854566,22.3302252732224,162.645827478807,69.7787570214873,88.5872494826622
"Epb41l3",73.27150851,202.563797872594,50.7003125830813,22.7172734754714,7.4428297330485,50.3906718459412,49.4966853501564,29.4604747511517
"Epha4",15.8268220158026,17.6671797687174,38.1876956427218,15.9965578580698,8.47261172145561,42.56598818,31.2288691404838,12.9455885181131
"Epha6",63.0722544787002,3.07452513048754,44.9328661359242,3.53535817237162,2.53693935813061,44.544803468204,10.7004101097153,1.44909184312935
"Epha7",29.800656976677,7.69247267910828,37.8432292370004,18.8743569094526,5.19187073480508,37.4160046465182,14.3790443495098,4.98241608147256
"Ephb1",4.13474054269101,57.0937526655689,40.0958621715709,4.19567237682869,23.7841021591575,17.2553796044752,6.18252453721441,11.6445034586535
"Ephb6",283.133954899067,79.6287140620944,144.119690775247,104.142137890612,49.72821818,356.2523242084,91.0633582835115,192.248322955578
"Eps8",47.9687735224853,4.84847125421878,6.07799706035137,35.789758060061,109.321300961226,6.79390140848446,22.9188996062642,130.226008121015
"Erbin",17.7481514005876,162.27092022566,12.1600855832107,27.120458315197,17.0941768081915,6.62840930664227,129.604490074086,17.3309218830664
"Erh",31.8409444503211,27.9229361488349,14.4425873883043,25.2272114995926,15.6560376325124,24.7545682225257,64.5079783739063,29.5687083103559
"Erlin1",31.4066475396673,15.1718908838464,82.8490174507626,23.5804160867918,10.6186650898115,40.0665376096324,85.8183844943821,39.9404517
"Erlin2",17.6497279161219,40.7221448638524,7.28043513643566,14.4263408192907,8.1333262443352,11.1342783344659,52.5093880921396,23.0680126449104
"Esd",74.8009498,57.0233521264091,49.0914323688571,97.6772934508712,31.7790087410984,47.3451790997339,165.967554871712,59.7001179750717
"Esyt1",24.6277087441001,37.1551781261706,9.82960761702184,297.272687170253,22.9238315911636,42.9320039488286,531.283831759892,88.3466050440256
"Etl4",154.386094467853,5.39237766079643,23.5528448670831,36.5823862332414,1.70670025827263,83.6883124971935,135.197494702487,6.07697673879687
"Fes",1.62167090841878,1.50964793847794,0.181327411,11.5086640267476,3.47914601828637e-06,0.429218767346966,614.869003571617,2.22764631334134
"Fgf1",14.0370079215929,43.9849824113901,0.652828612112563,23.1574797485825,77.9173146626778,3.01454240500836,60.8996546792046,8.01104065619195
"Fgfr1",66.8446121997862,26.4372082275049,42.1324667341112,433.41628257412,379.137524235755,54.5806257630245,27.9562498172642,173.846150493045
"Fgfr3",10.5029491448354,10.0224103096899,2.02740196997136,27.9726591651565,1494.44156803265,9.40341551620518,19.0183894939126,84.67172052
"Fhl1",40.3405491203157,23.8497943125186,17.8287277295258,16.720869146078,9.618718867,18.7264210876366,5.773295008,14.4014466995085
"Fhl2",6.054397654,5.30604751274359,4.65061135850402,57.82183971589,1.59489743389596,41.3189246386895,8.70153310535744,5.766392368
"Fis1",40.2502811964688,60.9663258226871,30.0426923260424,53.2273056389341,23.2064712670345,29.706095791002,141.66349384724,37.5662161860723
"Fkbp5",67.0576475172345,106.669377719861,112.782842328289,605.372753435182,17.7199835719852,77.0966750438659,1729.37361172166,143.367375143065
"Flt1",2.84102553587402,5.6405244132081,5.05204995680449,2823.316639,20.8123572301639,2.23235117925343,422.679262304636,2.05540159930145e-05
"Frs3",50.5665699432567,24.4130622408974,19.640033558723,57.32257195,18.542529929868,26.4857212815358,95.09733674,38.70398456
"G6pdx",36.119087531123,29.8325484674392,28.4758774765534,50.6637892887106,22.7981625295851,19.8591056844261,134.008811808079,24.5917240110947
"Gab1",2.27362013364929,296.760556007301,3.15397108277799,65.63178414,42.4087281448149,4.3484772097869,143.472774004611,110.808481495357
"Gabra3",24.981473354268,5.59807019701607,6.65516182096985,7.09010380619044,3.1860513146215,20.6448366635683,17.9806058003208,14.7705934391363
"Gapdh",25.5069160325647,20.24052225,15.1703514275507,21.2800336991451,14.1309235091742,14.0511035099135,62.6530769191221,13.3383550891833
"Garem2",4.95261822182542,28.4713175871086,0.984598973,22.180171743798,125.57082758164,0.398510038380348,10.821708108044,50.8588188508533
"Gfap",16.8137248881764,43.8598223383146,12.0926805652621,53.0993723026963,642.597350710479,14.6029122867807,558.254640673594,39.3258958186347
"Gja1",3.71770959805373,13.1060779824241,1.75859159874158,217.705149768987,709.620234450142,3.13219052905089,36.0998271804305,4.65019769558345
"Gls",29.0684763232219,17.1463564382791,24.6397138384572,11.2145422399738,6.92363427014667,44.8460711213945,69.2246856849582,18.648863257341
"Gltp",31.8899592643673,292.101116815967,32.3699322845053,112.493491688028,39.8907695472394,23.8640016667555,373.056155914796,174.3057932
"Glud1",25.1459878835109,20.9749691417712,15.0864386204165,35.076941785514,155.192645876935,14.8000774606864,80.8967308596473,46.7249084425787
"Glul",8.59668954201747,157.47800417452,5.14732078257162,101.882003442267,258.600738772455,6.94118804423517,136.021659817504,17.2389335609681
"Gmds",101.180235921977,67.3306753874069,61.5897084134335,112.788902144912,29.8933203011328,63.3641868678986,185.786460497177,119.820112619726
"Gnaq",20.0390679919323,18.6524922216862,14.8135609181827,19.5425018424729,22.76533857,25.8361867775118,76.6556756725804,25.7815386705881
"Gnas",99.6514583721287,51.6692235180404,17.6023742914149,122.276450935366,36.0887112263782,54.3836254880495,218.485747376282,47.5283269922573
"Got1",90.3326620615259,28.1044797611002,49.4124016921869,14.2729038759899,19.3400380226608,52.8068067500817,193.439442461853,17.4273417174176
"Got2",42.8691690151814,17.2785510435451,27.3534717890839,22.1963728684672,16.0405167258105,28.0992887672616,41.1187917277539,20.9828469276662
