"gene_symbol","Interneurons_ps","Oligodendrocytes_ps","Medium.spiny.neurons_ps","Endothelial.cells_ps","Astrocytes_ps","Excitatory.neurons_ps","Microglia_ps","OPCs_ps"
"1700037H04Rik",151.418962437195,74.3220718024606,190.365025672117,65.9682704820935,24.4587770819668,100.279273984382,183.13055356373,93.2492869598085
"2900026A02Rik",43.9090488425663,29.9622408961996,65.4232163544049,155.188943048357,25.2626117685971,197.080426278419,142.212868689011,15.9326335727636
"5031439G07Rik",66.8896574674251,177.515766472059,35.1792748044887,14.6374979836368,37.3455891498853,57.8836513980356,41.8290760567252,40.5108566880061
"5730455P16Rik",278.95804098108,224.861301650788,186.543759154816,174.605050236166,156.847296297583,260.122458041625,632.751990490157,223.997287760422
"8030462N17Rik",166.389609090808,126.972459655705,290.137355914471,86.8982432291234,63.5325561151144,199.541198919617,484.282852719815,122.995018970413
"A730071L15Rik",427.90863088959,250.878498909388,95.6436315158691,609.260486294092,0.000597032,225.29540975159,1403.99767963114,504.4712636
"Aagab",44.5669192955501,27.6676630905492,35.9447503208432,45.3938922320372,11.2411701243449,57.0185095374543,253.865619738126,29.0786001935943
"Aak1",313.810154186763,71.5020812693378,193.163759338496,72.7010334431807,68.837449929081,264.066558528264,191.669405722613,101.318437212975
"Aamdc",115.377603741504,198.945406475038,109.460244619018,233.435746115908,160.34946858046,84.76327171,300.994324601105,256.753303100948
"Aatk",46.4066008214046,476.06325183949,22.2981905988164,28.7937750374546,33.4773019286825,44.0135895043666,42.3928182339997,75.6621342703743
"Abca1",44.9256523076057,189.064372358161,21.8616780677474,243.000006023199,364.991098700139,18.6994117493284,1403.67135864771,390.544501526326
"Abca2",89.3471817422697,376.915315781914,42.1892694605129,31.464260120445,41.6780250752694,66.3666704817226,74.3216343858743,54.5113731078669
"Abca5",141.641886834482,41.2939309675351,44.5719967260162,48.1471692631353,48.7881538937881,93.4628924536817,38.919977401945,60.7849260418086
"Abcb1a",37.7422281501206,77.0041668444807,14.2303321446534,14157.3459421133,86.0807775541968,9.48222670605449,397.477868581796,30.9478601909342
"Abcc1",10.5266497778826,8.91667964425564,10.4628499246028,5.77876619151597,5.301093231,11.3690019151552,27.6389803728577,16.7592145649069
"Abcc4",129.991459331616,109.173689648317,338.487500085605,3010.38645781678,346.121904799246,363.224491880446,909.551089542125,512.139799993408
"Abcc5",139.022574617155,124.262177990604,113.742481489639,49.7128269589193,63.2470705622909,135.733531104399,260.994266327515,114.979091436147
"Abcd3",82.4426505246943,51.4265125024523,63.9782915638583,161.8012305,108.51260441107,59.3297161349615,205.153397453396,124.433346406649
"Abcf1",317.447773074978,308.101746571831,256.716159938009,382.482874536392,176.181268109165,314.798492834079,914.645532403483,276.261380192764
"Abhd17b",32.0336610866523,221.03372820871,17.0681565277377,30.3904015402632,30.6945232408636,24.8341620199058,67.2190953861515,170.659282901127
"Abi1",191.641666360139,226.656396153542,254.919706184983,226.927079466996,342.427729699022,187.977530249372,1363.42464880343,278.556991553604
"Abi2",198.428513386077,100.418101378834,260.825669410028,141.978712736199,69.5604520698109,283.85357211784,218.906866582808,152.988377543498
"Abi3bp",5.57823570810962,8.95933337191642,52.0828541785224,19.6731246921173,3.99846550055869,69.7378416888447,49.7360424707785,7.00643605903449
"Abl1",40.7315400405797,218.788988033818,39.3418380627181,92.0437977465295,24.1998945465092,34.8654846197772,359.475395260824,49.024112008634
"Abl2",88.081735360523,66.0078039015921,125.646313888547,61.0537481617224,68.4102002131395,113.311698068067,315.408373312884,83.8396452280922
"Ablim1",268.624513988363,21.0105156308099,83.7837453731244,464.231914917305,95.5385192143182,280.586741684074,216.210602496411,22.6825770404882
"Ablim2",52.0816055750138,98.6028489138869,153.475174496239,14.9208138648265,5.47152403131825,79.0126526793829,15.8579170448513,18.1275939241156
"Ablim3",222.581617597962,12.1851396123219,56.5387721566249,78.7557560390476,0.737862866260678,121.1346246647,10.3093946027967,34.0217821644147
"Abr",429.328196390884,56.4218509018221,258.449177908365,167.480418198079,450.310690069041,439.503672174216,567.729793772094,135.320200336425
"Abraxas2",24.9751469616338,17.3253230341683,18.5048518251058,21.4354106298889,10.989803859155,22.624090390326,78.7941632244383,18.836398004187
"Abtb2",26.8614228218655,56.9727168267053,0.468728191045948,41.6874259246387,44.7143035282273,2.0608807530907,8.78872038067679,381.329490761114
"Acaca",72.5010012492383,206.003686499743,32.8890826697089,31.0606331111978,52.772345078459,65.5983406606013,237.564541879209,64.8547810325085
"Acad9",27.5878553415049,14.6952659840323,11.6572932182478,10.600853993361,12.9104332802102,22.501126178789,34.934590425073,25.0134642718599
"Acap2",61.0681693606399,70.6538840515297,90.4189611678535,48.9523421076914,30.9848966127525,90.8113575757097,216.029237322282,32.2274748970119
"Acap3",97.8198185946688,95.5301929644265,94.4717079968728,94.0519561015176,46.1896683029646,156.013381941929,63.976726968559,374.3378501
"Acbd5",68.9151441956888,60.8202019954203,44.3362510093288,51.0146672465009,42.4206646403446,41.3919774094431,185.909172668347,61.7537623132076
"Accs",12.4151741835153,3.22003184613044,1.49433669145593,12.570285975508,5.7657900996046,3.87883428279296,355.334904169458,23.9655878836635
"Ace",332.855466865591,26.3912615051976,170.173053211157,1270.31965726273,12.3951144112831,86.88513336,136.496443018905,112.163905388076
"Acin1",257.012293653064,213.103538001911,170.17544480845,193.651244174844,136.757077421599,247.943008255409,721.529850188155,265.530277890892
"Acly",294.89723830321,347.94488854187,214.369113832307,343.385293376907,528.882675661748,387.114083517459,1520.5028051745,437.958882075126
