"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"2449",1.28613961427639e-151,0.263388164228319,0.135,0.02,2.71105369293321e-147,"Astrocytes_WT","Zfp521"
"2450",2.89432767187992e-151,0.396207953094879,0.244,0.06,6.10095329955569e-147,"Astrocytes_WT","Jam2"
"2451",4.03727609264983e-151,0.579131724482885,0.624,0.423,8.51017427569657e-147,"Astrocytes_WT","Hmgn3"
"2452",3.10765021010804e-150,0.359887080030378,0.244,0.056,6.55061587788673e-146,"Astrocytes_WT","Itgb5"
"2453",2.07102618492034e-148,0.525001329309585,0.686,0.47,4.36551609519358e-144,"Astrocytes_WT","Cadm1"
"2454",6.07644580186628e-148,0.547153734435524,0.362,0.135,1.28085401057539e-143,"Astrocytes_WT","Igdcc4"
"2455",8.72514856439929e-148,0.567184139894201,0.435,0.188,1.83917406588973e-143,"Astrocytes_WT","Wasf3"
"2456",4.66230963758076e-145,0.564323544481805,0.434,0.188,9.82768248505648e-141,"Astrocytes_WT","Zhx3"
"2457",2.17034245238804e-143,0.473127462400131,0.366,0.115,4.57486485538875e-139,"Astrocytes_WT","Fgfr2"
"2458",2.65791937393879e-143,0.501598441398028,0.327,0.108,5.60262824832558e-139,"Astrocytes_WT","Gstm5"
"2459",3.03970034340083e-141,0.509099646673773,0.354,0.128,6.40738435385461e-137,"Astrocytes_WT","Tiparp"
"2460",9.48041532957477e-141,0.328499835637881,0.191,0.04,1.99837674732106e-136,"Astrocytes_WT","Phgdh"
"2461",6.2892581324303e-138,0.346185055780414,0.203,0.044,1.32571272173498e-133,"Astrocytes_WT","Padi2"
"2462",1.84404763414007e-137,0.46423609383284,0.293,0.091,3.88706800800385e-133,"Astrocytes_WT","Foxo1"
"2463",2.37690801412932e-137,0.536625209338881,0.4,0.161,5.01028440298318e-133,"Astrocytes_WT","Grm3"
"2464",5.72751000908884e-137,0.508015529391001,0.651,0.455,1.20730183481584e-132,"Astrocytes_WT","Dmd"
"2465",6.29484529118793e-137,0.280322666901665,0.14,0.024,1.3268904389295e-132,"Astrocytes_WT","Tgfb2"
"2466",1.76695959737417e-136,0.541647255078082,0.396,0.165,3.72457413530501e-132,"Astrocytes_WT","Hacd2"
"2467",7.98960719124752e-134,0.28309277792767,0.14,0.024,1.68412929984306e-129,"Astrocytes_WT","Gdpd2"
"2468",4.12839951284677e-133,0.360514092438065,0.214,0.052,8.70225333312971e-129,"Astrocytes_WT","S100b"
"2469",4.55215368146918e-132,0.289813969978911,0.166,0.032,9.59548474516889e-128,"Astrocytes_WT","Sorbs3"
"2470",5.21808501286785e-131,0.260416462011546,0.134,0.022,1.09992013986241e-126,"Astrocytes_WT","Cyp4f17"
"2471",6.30654925615494e-130,0.56199095319998,0.54,0.314,1.3293575177049e-125,"Astrocytes_WT","Mgll"
"2472",1.04703651489409e-129,0.40046378555485,0.239,0.066,2.20704826974524e-125,"Astrocytes_WT","Ptpn13"
"2473",1.6742006733751e-128,0.391582795971341,0.229,0.061,3.52904759940738e-124,"Astrocytes_WT","Mid1ip1"
"2474",1.68922985472841e-127,0.255552856769271,0.139,0.024,3.56072761078201e-123,"Astrocytes_WT","Dapp1"
"2475",7.36580940037513e-126,0.309817633736113,0.14,0.025,1.55263896350507e-121,"Astrocytes_WT","Gfap"
"2476",7.95902709266232e-126,0.469975008514095,0.304,0.104,1.67768332086229e-121,"Astrocytes_WT","Gm26532"
"2477",8.01475770118765e-125,0.544466782854968,0.535,0.32,1.68943077583335e-120,"Astrocytes_WT","Ivd"
